거래일자,물품명,물품번호,물품구분,거래처명,사업자번호,대표자명,전화번호,취급개시일,단가,거래량,거래금액
2017-01-03,흑백토너,6,프소,갑을컴(주),111-111,홍갑을,860-1111,2010-01-01,"100,000",1,"100,000"
2017-01-03,컬러토너,9,프소,갑을컴(주),111-111,홍갑을,860-1111,2012-01-01,"500,000",1,"500,000"
2017-03-03,프린터용지,5,프소,성계제지,222-222,이성계,850-1234,1980-03-01,"20,000",100,"2,000,000"
2017-03-03,메모리4G,12,컴소,세종컴퓨터,333-333,이세종,310-1111,2017-01-01,"200,000",10,"2,000,000"
2017-04-05,볼펜10,1,문구,세조문구,222-111,김세조,850-1111,1960-09-01,"10,000",10,"100,000"
2017-04-05,포스트잇,7,문구,세조문구,222-111,김세조,850-1111,1990-01-01,"10,000",10,"100,000"
2017-05-05,예쁜마우스,11,컴소,우리컴(주),111-222,나우리,870-7777,2010-10-01,"50,000",10,"500,000"
2017-05-05,튼튼마우스,10,컴소,우리컴(주),111-222,나우리,870-7777,1990-10-01,"50,000",6,"300,000"
2017-06-01,컬러토너,9,프소,갑을컴(주),111-111,홍갑을,860-1111,2012-01-01,"500,000",1,"500,000"
2017-06-05,수정액,8,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"10,000",10,"100,000"
2017-06-05,가위(대),2,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"10,000",5,"50,000"
2017-06-05,가위(중),3,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"5,000",2,"10,000"
2017-06-05,가위(소),4,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"1,000",5,"5,000"
2017-08-03,흑백토너,6,프소,갑을컴(주),111-111,홍갑을,860-1111,2010-01-01,"100,000",1,"100,000"
2017-08-03,컬러토너,9,프소,갑을컴(주),111-111,홍갑을,860-1111,2012-01-01,"500,000",1,"500,000"
2017-09-03,프린터용지,5,프소,성계제지,222-222,이성계,850-1234,1980-03-01,"20,000",20,"400,000"
2017-09-03,SSD,13,컴소,세종컴퓨터,333-333,이세종,310-1111,2017-01-01,"200,000",5,"1,000,000"
2017-10-05,볼펜10,1,문구,세조문구,222-111,김세조,850-1111,1960-09-01,"10,000",10,"100,000"
2017-11-05,포스트잇,7,문구,세조문구,222-111,김세조,850-1111,1990-01-01,"10,000",10,"100,000"
2017-12-05,예쁜마우스,11,컴소,우리컴(주),111-222,나우리,870-7777,2010-10-01,"50,000",10,"500,000"
2017-12-05,튼튼마우스,10,컴소,우리컴(주),111-222,나우리,870-7777,1990-10-01,"50,000",6,"300,000"
2017-12-10,컬러토너,9,프소,갑을컴(주),111-111,홍갑을,860-1111,2012-01-01,"500,000",1,"500,000"
2017-12-15,수정액,8,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"10,000",10,"100,000"
2017-12-20,가위(중),3,문구,세조문구,222-111,김세조,850-1111,2010-01-01,"5,000",3,"15,000"
2017-12-20,흑백토너,6,프소,우리컴(주),111-222,나우리,870-7777,2015-10-01,"70,000",1,"70,000"
2017-12-20,컬러토너,9,프소,우리컴(주),111-222,나우리,870-7777,2015-10-01,"300,000",1,"300,000"
2017-12-20,프린터용지,5,프소,명성제지,222-333,민황후,830-3333,1980-03-01,"15,000",100,"1,500,000"
